EmployeeNumber,race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E2(-1),E3(1),E4(-1),E5(1),E6(-1),E7(1),E8(-1),E9(1),E10(-1),N1(-1),N2(1),N3(-1),N4(1),N5(-1),N6(-1),N7(-1),N8(-1),N9(-1),N10(-1),A1(-1),A2(1),A3(-1),A4(1),A5(-1),A6(1),A7(-1),A8(1),A9(1),A10(1),C1(1),C2(-1),C3(1),C4(-1),C5(1),C6(-1),C7(1),C8(-1),C9(1),C10(1),O1(1),O2(-1),O3(1),O4(-1),O5(1),O6(-1),O7(1),O8(1),O9(1),O10(1)
1,Caucasian (European),53,1,1,1,1,US,25,23,14,22,1,2,5,2,5,1,4,3,5,1,1,5,2,5,1,1,1,1,1,1,1,5,1,5,2,3,1,5,4,5,4,1,5,1,5,1,4,1,4,5,4,1,3,1,5,1,4,2,5,5
2,Mixed Race,46,1,0,1,1,US,8,18,-8,11,-19,2,3,3,3,3,1,5,1,5,2,3,4,2,3,4,3,2,2,4,1,3,3,4,4,4,2,3,4,3,4,1,3,2,3,1,5,1,4,4,3,3,3,3,2,3,3,1,3,2
4,Mixed Race,14,0,0,1,1,PK,27,25,5,14,-34,1,1,4,5,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,5,5,4,1,5,1,5,1,5,1,5,5,4,5,5,1,5,1,5,5,5,5
5,Caucasian (European),19,0,0,1,1,RO,23,2,-8,13,-31,5,2,4,3,4,3,4,4,5,5,4,4,2,4,5,5,5,4,5,2,5,4,4,3,5,3,4,4,3,3,3,4,5,1,4,5,4,2,3,4,3,5,2,4,2,5,2,5,5
7,Mixed Race,25,0,0,1,2,US,16,10,4,20,-18,1,3,3,3,1,3,1,3,5,3,3,3,4,3,3,3,3,3,4,5,5,3,5,1,5,1,5,5,5,3,1,5,3,3,1,1,3,3,3,3,1,1,1,3,1,3,1,5,3
8,Mixed Race,31,1,0,1,2,US,15,7,-14,12,-12,5,2,4,1,3,2,4,1,5,1,5,4,5,1,4,4,1,5,2,2,2,3,4,3,4,3,5,5,3,2,5,4,3,3,4,5,3,5,3,4,2,1,3,3,5,5,4,5,3
10,Caucasian (Middle East),20,1,0,1,5,US,23,4,16,21,-9,1,5,1,5,1,5,4,4,1,2,4,2,4,2,2,3,2,2,2,5,5,1,5,1,5,1,5,4,5,2,4,3,3,3,3,3,3,3,3,3,1,5,1,4,1,4,3,3,4
11,Caucasian (Indian),23,0,1,1,2,IN,24,20,9,17,-3,3,5,3,5,1,4,3,4,3,1,4,4,4,1,1,1,1,1,1,2,5,1,4,3,3,1,3,4,5,4,2,5,1,4,1,4,1,3,5,3,1,5,1,4,1,5,3,2,5
12,Caucasian (Middle East),39,1,0,2,4,US,23,17,15,25,-23,1,5,1,5,1,5,2,5,3,2,4,5,3,3,5,5,4,3,3,1,5,1,5,1,5,1,5,5,4,4,3,5,2,5,2,5,2,4,3,3,3,5,3,5,1,5,3,4,5
13,Caucasian (European),18,1,0,1,5,US,23,16,-15,11,-25,4,2,5,2,4,1,4,1,5,5,2,5,2,3,4,3,2,3,4,2,3,1,4,2,4,3,3,3,2,5,2,4,2,3,2,4,2,4,4,4,2,5,2,4,1,4,3,4,4
