race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance
Caucasian (European),53,1,1,1,Test Website,US,43,47,44,46,49
Mixed Race,46,1,0,1,Test Website,US,26,42,22,35,29
Mixed Race,14,0,0,1,Test Website,PK,45,49,35,38,14
Caucasian (European),19,0,0,1,Test Website,RO,41,26,22,37,17
Mixed Race,25,0,0,1,Google,US,34,34,34,44,30
Mixed Race,31,1,0,1,Google,US,33,31,16,36,36
Caucasian (Middle East),20,1,0,1,Other Source,US,41,28,46,45,39
Caucasian (Indian),23,0,1,1,Google,IN,42,44,39,41,45
Caucasian (Middle East),39,1,0,2,.edu website,US,41,41,45,49,25
Caucasian (European),18,1,0,1,Other Source,US,41,40,15,35,23
Caucasian (European),17,0,0,1,Test Website,IT,42,24,13,41,24
Mixed Race,15,0,1,1,Test Website,IN,38,30,30,35,36
Mixed Race,22,1,0,1,Google,US,37,39,34,46,31
Caucasian (European),21,1,0,1,Other Source,US,39,43,17,33,20
Caucasian (European),28,0,0,1,Google,US,36,40,26,40,33
Caucasian (European),21,1,1,1,Other Source,US,47,42,28,17,41
Mixed Race,19,1,0,1,Google,FR,47,36,20,17,33
Caucasian (European),21,1,0,1,Other Source,US,35,30,46,46,24
Caucasian (European),26,1,0,2,Other Source,GB,37,46,20,34,30
Caucasian (European),26,1,0,1,Test Website,US,40,33,28,35,29
Mixed Race,19,0,0,1,Test Website,LT,41,28,21,42,24
Mixed Race,29,0,0,1,Test Website,US,45,41,32,34,40
Caucasian (European),29,1,0,1,Google,US,39,42,21,41,26
Caucasian (European),21,1,1,0,Google,CA,38,31,33,41,38
Caucasian (European),52,1,0,1,Test Website,US,38,25,27,39,34
Caucasian (European),19,0,0,1,Test Website,GR,39,35,23,41,33
Caucasian (European),48,1,1,1,Google,US,44,24,44,35,32
Caucasian (European),22,1,1,1,.edu website,US,31,30,28,38,32
Mixed Race,17,1,0,1,Test Website,US,39,20,22,37,19
Caucasian (European),37,0,1,1,Facebook,DK,36,37,31,38,41
Mixed Race,19,1,0,1,Test Website,US,36,25,27,42,24
Caucasian (European),22,1,0,1,Test Website,US,45,31,26,38,28
Caucasian (European),25,1,1,0,.edu website,US,36,38,40,38,38
Caucasian (European),20,1,0,1,Test Website,US,46,16,46,45,21
Caucasian (European),15,1,0,0,Test Website,GB,27,19,18,29,29
Caucasian (European),46,1,0,0,Facebook,US,42,45,27,37,17
Caucasian (European),15,1,1,1,Test Website,GB,44,38,21,41,35
Caucasian (European),18,1,0,0,Google,US,46,36,28,44,31
Caucasian (European),42,1,1,1,Facebook,US,45,22,21,29,36
Caucasian (European),27,1,0,1,Test Website,US,39,41,21,41,31
Mixed Race,17,1,1,1,Test Website,US,50,42,46,18,50
Native American,17,1,0,1,Other Source,US,35,40,35,41,19
Caucasian (North African),17,1,0,1,Other Source,US,36,33,23,33,27
Mixed Race,60,1,0,1,Other Source,US,43,48,48,40,16
Caucasian (European),27,1,0,1,Google,CA,38,33,21,50,20
Caucasian (European),19,1,0,1,Google,US,44,41,41,41,23
Caucasian (European),20,1,1,1,Test Website,US,35,31,16,25,34
Caucasian (Indian),19,1,1,1,Test Website,IN,40,49,40,41,42
Mixed Race,26,0,0,1,Test Website,US,44,17,10,37,12
Caucasian (North African),24,0,1,1,Test Website,MX,43,24,28,31,21
Caucasian (European),19,1,0,0,Test Website,US,36,35,18,37,21
Caucasian (European),18,1,0,1,Other Source,GB,44,20,25,30,12
Caucasian (European),14,1,0,1,Test Website,US,42,25,31,30,23
Mixed Race,25,0,0,1,Test Website,IN,32,44,32,45,36
Caucasian (European),47,1,1,1,Test Website,US,46,42,36,30,28
Caucasian (European),18,1,1,1,Other Source,US,32,27,20,30,24
Caucasian (European),23,0,1,0,Test Website,SE,37,34,28,31,16
Caucasian (European),14,1,3,1,Test Website,GB,34,20,30,36,23
Caucasian (European),20,1,0,1,Test Website,US,45,35,15,46,24
Caucasian (Middle East),35,1,0,0,Test Website,US,44,37,42,48,25
Caucasian (European),34,1,0,1,Test Website,US,37,44,43,47,31
Mixed Race,36,0,0,1,Test Website,JO,32,37,37,42,17
Caucasian (European),15,1,1,1,Test Website,US,34,24,26,30,23
Caucasian (European),20,1,1,1,Test Website,US,41,30,39,45,41
Caucasian (European),54,1,0,1,Test Website,CA,40,42,26,37,44
Caucasian (European),47,0,1,1,Other Source,US,40,27,32,43,31
Caucasian (Indian),17,0,1,1,Test Website,IN,34,30,23,40,18
Mixed Race,45,0,1,1,Test Website,US,39,49,35,46,41
Caucasian (European),32,1,0,1,Google,US,31,42,30,40,15
Caucasian (European),23,0,0,1,Google,NO,39,27,40,45,29
Mixed Race,23,1,0,1,Test Website,US,37,33,39,44,38
Caucasian (European),14,1,0,1,Test Website,US,42,35,25,42,12
Caucasian (European),19,1,1,1,Test Website,IE,46,22,30,39,28
Caucasian (European),15,1,0,1,Test Website,NZ,34,23,18,43,22
Caucasian (European),49,0,0,1,Test Website,FI,46,19,34,35,33
Caucasian (Middle East),47,1,0,0,Google,US,43,34,13,44,24
Caucasian (European),23,0,0,1,Google,BE,33,37,25,48,24
Caucasian (European),19,0,0,1,Test Website,FI,40,36,16,22,18
Caucasian (European),36,1,1,1,Test Website,US,38,46,25,41,24
Caucasian (European),21,1,0,1,Test Website,GB,44,23,34,46,17
Caucasian (European),21,0,0,1,Test Website,BE,49,31,35,42,14
Caucasian (European),13,1,1,1,Test Website,GB,40,29,23,30,14
Mixed Race,21,0,0,1,Other Source,US,33,40,31,40,30
Caucasian (European),32,0,1,1,Test Website,HR,36,41,45,41,42
Caucasian (European),33,1,0,1,Test Website,US,45,40,47,45,33
Caucasian (European),33,1,1,1,Test Website,US,39,39,39,36,38
Caucasian (European),16,1,1,1,Test Website,GB,39,29,29,28,24
Caucasian (European),21,0,0,1,Test Website,BE,45,30,32,32,24
Caucasian (European),31,0,0,1,Other Source,NO,31,37,37,37,40
Caucasian (European),17,1,1,1,Test Website,US,49,23,13,46,32
Caucasian (European),26,1,0,1,Other Source,GB,33,38,26,42,32
Caucasian (European),34,0,1,1,Test Website,BE,50,31,35,50,21
Mixed Race,21,1,0,1,Test Website,ZA,38,50,30,42,42
Caucasian (European),26,0,0,1,Google,US,41,35,40,37,40
