,EmployeeNumber,race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
0,1.0,Caucasian (European),53,1,1,1,1,US,25.0,23.0,14.0,22.0,1.0,4.0,5,4.0,5,5.0,4,3.0,5,5.0,5.0,5,4.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5,4.0,3,5.0,5,4,5,4,5.0,5,5.0,5,5.0,4,5.0,4,5,4,5.0,3,5.0,5,5.0,4,2,5,5
1,2.0,Mixed Race,46,1,0,1,1,US,8.0,18.0,-8.0,11.0,-19.0,4.0,3,3.0,3,3.0,1,1.0,1,1.0,4.0,3,2.0,2,3.0,2.0,3.0,4.0,4.0,2.0,5.0,3,3.0,4,2.0,4,4.0,3,4,3,4,5.0,3,4.0,3,5.0,5,5.0,4,4,3,3.0,3,3.0,2,3.0,3,1,3,2
2,4.0,Mixed Race,14,0,0,1,1,PK,27.0,25.0,5.0,14.0,-34.0,5.0,1,2.0,5,5.0,1,1.0,5,5.0,1.0,1,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,5,5.0,5,5.0,5,5,5,4,5.0,5,5.0,5,5.0,5,5.0,5,5,4,1.0,5,5.0,5,5.0,5,5,5,5
3,5.0,Caucasian (European),19,0,0,1,1,RO,23.0,2.0,-8.0,13.0,-31.0,1.0,2,2.0,3,2.0,3,2.0,4,1.0,1.0,4,2.0,2,2.0,1.0,1.0,1.0,2.0,1.0,4.0,5,2.0,4,3.0,5,3.0,4,4,3,3,3.0,4,1.0,1,2.0,5,2.0,2,3,4,3.0,5,4.0,4,4.0,5,2,5,5
4,7.0,Mixed Race,25,0,0,1,2,US,16.0,10.0,4.0,20.0,-18.0,5.0,3,3.0,3,5.0,3,5.0,3,1.0,3.0,3,3.0,4,3.0,3.0,3.0,3.0,3.0,2.0,1.0,5,3.0,5,5.0,5,5.0,5,5,5,3,5.0,5,3.0,3,5.0,1,3.0,3,3,3,5.0,1,5.0,3,5.0,3,1,5,3
5,8.0,Mixed Race,31,1,0,1,2,US,15.0,7.0,-14.0,12.0,-12.0,1.0,2,2.0,1,3.0,2,2.0,1,1.0,5.0,5,2.0,5,5.0,2.0,2.0,5.0,1.0,4.0,4.0,2,3.0,4,3.0,4,3.0,5,5,3,2,1.0,4,3.0,3,2.0,5,3.0,5,3,4,4.0,1,3.0,3,1.0,5,4,5,3
6,10.0,Caucasian (Middle East),20,1,0,1,5,US,23.0,4.0,16.0,21.0,-9.0,5.0,5,5.0,5,5.0,5,2.0,4,5.0,4.0,4,4.0,4,4.0,4.0,3.0,4.0,4.0,4.0,1.0,5,5.0,5,5.0,5,5.0,5,4,5,2,2.0,3,3.0,3,3.0,3,3.0,3,3,3,5.0,5,5.0,4,5.0,4,3,3,4
7,11.0,Caucasian (Indian),23,0,1,1,2,IN,24.0,20.0,9.0,17.0,-3.0,3.0,5,3.0,5,5.0,4,3.0,4,3.0,5.0,4,2.0,4,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5,5.0,4,3.0,3,5.0,3,4,5,4,4.0,5,5.0,4,5.0,4,5.0,3,5,3,5.0,5,5.0,4,5.0,5,3,2,5
8,12.0,Caucasian (Middle East),39,1,0,2,4,US,23.0,17.0,15.0,25.0,-23.0,5.0,5,5.0,5,5.0,5,4.0,5,3.0,4.0,4,1.0,3,3.0,1.0,1.0,2.0,3.0,3.0,5.0,5,5.0,5,5.0,5,5.0,5,5,4,4,3.0,5,4.0,5,4.0,5,4.0,4,3,3,3.0,5,3.0,5,5.0,5,3,4,5
9,13.0,Caucasian (European),18,1,0,1,5,US,23.0,16.0,-15.0,11.0,-25.0,2.0,2,1.0,2,2.0,1,2.0,1,1.0,1.0,2,1.0,2,3.0,2.0,3.0,4.0,3.0,2.0,4.0,3,5.0,4,4.0,4,3.0,3,3,2,5,4.0,4,4.0,3,4.0,4,4.0,4,4,4,4.0,5,4.0,4,5.0,4,3,4,4
